299.709747,981
300.331055,1029
300.952759,991
301.57486,1056
302.1974,908
302.8203,988
303.443665,1063
304.0674,921
304.6916,1068
305.316162,1035
305.941132,1040
306.566528,1100
307.192352,945
307.818573,981
308.4452,967
309.072235,1022
309.699677,1022
310.3275,931
310.95578,1009
311.584473,947
312.213562,1061
312.843048,1167
313.472961,1067
314.103271,920
314.734,1012
315.365143,1034
315.996674,1004
316.628632,1061
317.261,1023
317.893768,1032
318.526947,983
319.160553,1022
319.794556,1051
320.428955,954
321.063782,952
321.699,1011
322.334656,1098
322.9707,1011
323.607147,974
324.244019,1040
324.8813,1039
325.518951,1028
326.157043,1144
326.795563,1035
327.434479,1000
328.0738,955
328.7135,1068
329.353638,1165
329.994171,1008
330.635132,836
331.2765,1078
331.918243,885
332.560425,1072
333.203,1049
333.846,916
334.4894,919
335.1332,983
335.7774,969
336.422028,1060
337.067078,941
337.7125,967
338.358337,1004
339.0046,955
339.651245,966
340.29834,942
340.9458,979
341.5937,1021
342.241974,1070
342.890656,1048
343.539764,902
344.18927,989
344.839172,938
345.4895,1044
346.140228,1035
346.791351,928
347.4429,859
348.094849,909
348.7472,982
349.399963,1078
350.053131,1119
350.7067,1000
351.3607,964
352.015045,920
352.669861,1076
353.325043,1000
353.980652,1009
354.636658,959
355.29306,1090
355.94986,1065
356.6071,1028
357.2647,1084
357.92276,981
358.581177,1018
359.240021,957
359.8993,1032
360.558929,1080
361.219,1120
361.879456,1168
362.5403,1006
363.201569,1015
363.863251,1002
364.52533,1024
365.1878,1096
365.8507,1146
366.513977,1073
367.177673,1108
367.841766,984
368.5063,1021
369.171173,1063
369.8365,1050
370.5022,896
371.1683,1010
371.834839,1037
372.50174,1043
373.169067,1020
373.8368,1004
374.5049,1054
375.173462,1069
375.842377,1073
376.511719,1028
377.181458,925
377.8516,987
378.522125,1049
379.193085,1047
379.864441,1089
380.536163,970
381.2083,943
381.880859,1001
382.553833,916
383.227173,1034
383.90094,970
384.575073,961
385.249634,1013
385.9246,986
386.599976,1011
387.275726,1136
387.951874,1033
388.628448,1003
389.3054,1008
